No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
47;90.660.643;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;90.715.109;90.660.643;54466;3678890;3624424
48;90.715.109;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=929 Ack=781 Win=259 Len=0;;;;;;;;;;;;;;;94.393.999;90.715.109;3678890;157973;3520917
49;94.393.999;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;94.551.972;94.393.999;157973;9263135;9105162
50;94.551.972;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=781 Ack=959 Win=6588 Len=0;;;;;;;;;;;;;;;103.815.107;94.551.972;9263135;157554;9105581
53;103.815.107;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;103.972.661;103.815.107;157554;16342406;16184852
54;103.972.661;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;120.315.067;103.972.661;16342406;144569;16197837
55;120.315.067;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;120.459.636;120.315.067;144569;204912;60343
56;120.459.636;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=781 Ack=1176 Win=6595 Len=0;;;;;;;;;;;;;;;120.664.548;120.459.636;204912;40627;164285
57;120.664.548;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;120.705.175;120.664.548;40627;1641984;1601357
58;120.705.175;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=1176 Ack=976 Win=258 Len=0;;;;;;;;;;;;;;;122.347.159;120.705.175;1641984;89778;1552206
63;122.347.159;192.168.43.133;34.199.138.238;TCP;66;50514  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;122.436.937;122.347.159;89778;5065;84713
64;122.436.937;192.168.43.133;34.199.138.238;TCP;66;50515  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;122.442.002;122.436.937;5065;449;4616
65;122.442.002;34.199.138.238;192.168.43.133;TCP;66;80  >  50514 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1360 SACK_PERM=1 WS=4096;;;;;;;;;;;;;;;122.442.451;122.442.002;449;2332;1883
66;122.442.451;192.168.43.133;34.199.138.238;TCP;54;50514  >  80 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;122.444.783;122.442.451;2332;46025;43693
67;122.444.783;192.168.43.133;34.199.138.238;HTTP;1359;POST / HTTP/1.1  (text/plain);;;;;;;;;;;;;;;122.490.808;122.444.783;46025;367;45658
68;122.490.808;34.199.138.238;192.168.43.133;TCP;66;80  >  50515 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1360 SACK_PERM=1 WS=4096;;;;;;;;;;;;;;;122.491.175;122.490.808;367;15506;15139
69;122.491.175;192.168.43.133;34.199.138.238;TCP;54;50515  >  80 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;122.506.681;122.491.175;15506;719072;703566
70;122.506.681;34.199.138.238;192.168.43.133;TCP;54;80  >  50514 [ACK] Seq=1 Ack=1306 Win=49152 Len=0;;;;;;;;;;;;;;;123.225.753;122.506.681;719072;53513;665559
71;123.225.753;34.199.138.238;192.168.43.133;HTTP;354;HTTP/1.1 200 OK  (application/json);;;;;;;;;;;;;;;123.279.266;123.225.753;53513;3041145;2987632
72;123.279.266;192.168.43.133;34.199.138.238;TCP;54;50514  >  80 [ACK] Seq=1306 Ack=301 Win=66304 Len=0;;;;;;;;;;;;;;;126.320.411;123.279.266;3041145;481;3040664
75;126.320.411;192.168.43.133;34.199.138.238;TCP;54;50515  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;126.320.892;126.320.411;481;26359;25878
76;126.320.892;192.168.43.133;34.199.138.238;TCP;54;50514  >  80 [FIN, ACK] Seq=1306 Ack=301 Win=66304 Len=0;;;;;;;;;;;;;;;126.347.251;126.320.892;26359;29859;3500
77;126.347.251;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;126.377.110;126.347.251;29859;0;29859
78;126.377.110;34.199.138.238;192.168.43.133;TCP;54;80  >  50514 [FIN, ACK] Seq=301 Ack=1307 Win=49152 Len=0;;;;;;;;;;;;;;;126.377.110;126.377.110;0;316;316
79;126.377.110;34.199.138.238;192.168.43.133;TCP;54;80  >  50515 [FIN, ACK] Seq=1 Ack=2 Win=45056 Len=0;;;;;;;;;;;;;;;126.377.426;126.377.110;316;293;23
80;126.377.426;192.168.43.133;34.199.138.238;TCP;54;50514  >  80 [ACK] Seq=1307 Ack=302 Win=66304 Len=0;;;;;;;;;;;;;;;126.377.719;126.377.426;293;2716;2423
81;126.377.719;192.168.43.133;34.199.138.238;TCP;54;50515  >  80 [ACK] Seq=2 Ack=2 Win=66560 Len=0;;;;;;;;;;;;;;;126.380.435;126.377.719;2716;13075890;13073174
82;126.380.435;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;139.456.325;126.380.435;13075890;152467;12923423
87;139.456.325;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;139.608.792;139.456.325;152467;9378395;9225928
88;139.608.792;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=976 Ack=1206 Win=6596 Len=0;;;;;;;;;;;;;;;148.987.187;139.608.792;9378395;144723;9233672
91;148.987.187;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;149.131.910;148.987.187;144723;1261564;1116841
92;149.131.910;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;150.393.474;149.131.910;1261564;172099;1089465
93;150.393.474;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;150.565.573;150.393.474;172099;204788;32689
94;150.565.573;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=976 Ack=1423 Win=6603 Len=0;;;;;;;;;;;;;;;150.770.361;150.565.573;204788;44905;159883
95;150.770.361;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;150.815.266;150.770.361;44905;20578731;20533826
96;150.815.266;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=1423 Ack=1171 Win=260 Len=0;;;;;;;;;;;;;;;171.393.997;150.815.266;20578731;164896;20413835
112;171.393.997;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;171.558.893;171.393.997;164896;8913039;8748143
113;171.558.893;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;180.471.932;171.558.893;8913039;97409;8815630
116;180.471.932;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;180.569.341;180.471.932;97409;307236;209827
117;180.569.341;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1171 Ack=1640 Win=6609 Len=0;;;;;;;;;;;;;;;180.876.577;180.569.341;307236;48405;258831
